"m1","m2","m3","m4","m5","cl"
"5676",50.68,0.59638,0.13751,97,0.50981,6
"5677",38.838,0.82679,0.14277,94,0.43631,6
"5678",50.886,0.41967,0.14098,72,0.71466,6
"5679",48.859,0.38976,0.1426,144,0.4878,6
"5680",48.549,0.78573,0.12423,78,0.73333,6
"5681",30.199,1.0944,0.12132,152,0.4509,6
"5682",45.538,0.66959,0.22471,123,0.53447,6
"5683",48.487,0.96306,0.1333,99,0.73545,6
"5684",45.117,0.86217,0.13684,88,0.28623,6
"5685",52.652,0.68657,0.14123,88,0.27102,6
"5686",38.081,0.41715,0.23955,64,0.49908,6
"5687",56.744,1.1815,0.2081,67,0.77399,6
"5688",35.76,1.0497,0.19461,91,0.71376,6
"5689",45.633,0.86571,0.1426,102,0.67438,6
"5690",45.111,1.0994,0.16698,149,0.50508,6
"5691",36.682,0.7884,0.16409,177,0.47882,6
"5692",30.67,0.74312,0.20548,164,0.60766,6
"5693",33.709,0.40528,0.15026,121,0.46451,6
"5694",25.971,0.54825,0.21866,130,0.48765,6
"5695",54.068,0.71153,0.14683,165,0.56928,6
"5696",40.562,0.63128,0.16408,153,0.51398,6
"5697",36.696,1.0237,0.19892,65,0.74673,6
"5698",38.697,1.136,0.14753,55,0.49857,6
"5699",41.71,1.1881,0.19593,100,0.57555,6
"5700",26.363,0.68922,0.12958,116,0.29538,6
"7701",50.67,0.49508,0.69566,83,0.63821,2
"7702",50.163,1.1328,0.88313,84,0.66342,2
"7703",44.603,0.72647,0.74255,84,0.63122,2
"7704",69.293,2.1145,0.92614,82,0.66191,2
"7705",49.229,0.97266,0.847,90,0.59668,2
"7706",55.252,0.88328,0.48444,79,0.61113,2
"7707",51.473,1.0264,0.78253,84,0.67844,2
"7708",68.542,2.0501,0.76084,83,0.64232,2
"7709",38.812,1.1717,0.60196,83,0.63933,2
"7710",55.233,1.0622,0.98795,90,0.57803,2
"7711",48.214,0.42595,0.51974,78,0.68776,2
